date,time,title,type,source
2026-09-21,5:30 PM,College of Engineering Global Co-op Information Session,Workshop,nuworks
2026-09-24,3:00 PM,Learn about Lunar Outpost Inc.,Coffee Chat,nuworks
2026-09-28,4:00 PM,Learn about Teradyne,Connection Session,nuworks
2026-09-30,12:00 PM,Learn about Dell Technologies,Connection Session,nuworks
2026-09-30,1:00 PM,SpaceX at Northeastern!,Co-op workshop / employer visit,nuworks
2026-10-01,12:00 PM,Learn about Campus Early Talent Acquisition,Connection Session,nuworks
2026-10-16,1:00 PM,Fall 2026 Talent Connect - Virtual (9 employers),Virtual Career Fair,nuworks
